dog_name,session,table,trial,condition,recoding,original_code,same ?,Recoding_id
Alma,3,16,20,absent,R,R,Match,SAD
Alma,3,16,21,looking_away,R,R,Match,SAD
Alma,3,16,22,absent,R,R,Match,SAD
Alma,3,16,23,absent,R,R,Match,SAD
Alma,3,16,24,looking_away,R,R,Match,SAD
Angus,3,3,1,looking_away,L,L,Match,SAD
Angus,3,3,2,looking_away,R,R,Match,SAD
Angus,3,3,3,present,L,L,Match,SAD
Angus,3,3,4,back_turned,L,L,Match,SAD
Angus,3,3,5,absent,L,L,Match,SAD
Angus,3,3,6,present,L,L,Match,SAD
Angus,3,3,7,looking_away,L,L,Match,SAD
Angus,3,3,8,back_turned,L,L,Match,SAD
Angus,3,3,9,present,R,R,Match,SAD
Angus,3,3,10,back_turned,L,L,Match,SAD
Angus,3,3,11,back_turned,L,L,Match,SAD
Angus,3,3,12,present,L,L,Match,SAD
Angus,3,3,13,absent,L,L,Match,SAD
Angus,3,3,14,absent,L,L,Match,SAD
Angus,3,3,15,looking_away,L,L,Match,SAD
Angus,3,3,16,looking_away,L,L,Match,SAD
Angus,3,3,17,absent,R,R,Match,SAD
Angus,3,3,18,back_turned,L,L,Match,SAD
Angus,3,3,19,present,R,R,Match,SAD
Angus,3,3,20,present,L,L,Match,SAD
Angus,3,3,21,absent,L,L,Match,SAD
Angus,3,3,22,looking_away,L,L,Match,SAD
Angus,3,3,23,back_turned,L,L,Match,SAD
Angus,3,3,24,absent,L,L,Match,SAD
Arany,3,1,1,absent,L,L,Match,SAD
Arany,3,1,2,looking_away,L,L,Match,SAD
Arany,3,1,3,looking_away,L,L,Match,SAD
Arany,3,1,4,present,L,L,Match,SAD
Arany,3,1,5,present,R,R,Match,SAD
Arany,3,1,6,back_turned,L,L,Match,SAD
Arany,3,1,7,looking_away,L,L,Match,SAD
Arany,3,1,8,back_turned,L,L,Match,SAD
Arany,3,1,9,back_turned,L,L,Match,SAD
Arany,3,1,10,absent,R,R,Match,SAD
Arany,3,1,11,looking_away,L,L,Match,SAD
Arany,3,1,12,absent,L,L,Match,SAD
Arany,3,1,13,present,L,L,Match,SAD
Arany,3,1,14,absent,L,L,Match,SAD
Arany,3,1,15,back_turned,L,L,Match,SAD
Arany,3,1,16,present,L,L,Match,SAD
Arany,3,1,17,present,L,L,Match,SAD
Arany,3,1,18,looking_away,L,L,Match,SAD
Arany,3,1,19,absent,L,L,Match,SAD
Arany,3,1,20,present,R,R,Match,SAD
Arany,3,1,21,back_turned,R,R,Match,SAD
Arany,3,1,22,absent,R,R,Match,SAD
Arany,3,1,23,back_turned,L,L,Match,SAD
Arany,3,1,24,looking_away,L,L,Match,SAD
Azzuro,3,7,1,absent,R,R,Match,SAD
Azzuro,3,7,2,looking_away,R,R,Match,SAD
Azzuro,3,7,3,looking_away,R,R,Match,SAD
Azzuro,3,7,4,back_turned,R,R,Match,SAD
Azzuro,3,7,5,absent,L,L,Match,SAD
Azzuro,3,7,6,present,L,L,Match,SAD
Azzuro,3,7,7,looking_away,R,R,Match,SAD
Azzuro,3,7,8,looking_away,L,L,Match,SAD
Azzuro,3,7,9,absent,R,R,Match,SAD
Azzuro,3,7,10,absent,R,R,Match,SAD
Azzuro,3,7,11,back_turned,R,R,Match,SAD
Azzuro,3,7,12,present,R,R,Match,SAD
Azzuro,3,7,13,looking_away,R,R,Match,SAD
Azzuro,3,7,14,absent,R,R,Match,SAD
Azzuro,3,7,15,present,R,R,Match,SAD
Azzuro,3,7,16,present,R,R,Match,SAD
Azzuro,3,7,17,back_turned,R,R,Match,SAD
Azzuro,3,7,18,back_turned,R,R,Match,SAD
Azzuro,3,7,19,present,L,L,Match,SAD
Azzuro,3,7,20,back_turned,R,R,Match,SAD
Azzuro,3,7,21,present,R,R,Match,SAD
Azzuro,3,7,22,absent,L,L,Match,SAD
Azzuro,3,7,23,looking_away,L,L,Match,SAD
Azzuro,3,7,24,back_turned,R,R,Match,SAD
Baloo2,3,1,1,absent,L,L,Match,SAD
Baloo2,3,1,2,looking_away,L,L,Match,SAD
Baloo2,3,1,3,looking_away,L,L,Match,SAD
Baloo2,3,1,4,present,R,R,Match,SAD
Baloo2,3,1,5,present,L,L,Match,SAD
Baloo2,3,1,6,back_turned,L,L,Match,SAD
Baloo2,3,1,7,looking_away,L,L,Match,SAD
Baloo2,3,1,8,back_turned,L,L,Match,SAD
Baloo2,3,1,9,back_turned,L,L,Match,SAD
Baloo2,3,1,10,absent,R,R,Match,SAD
Baloo2,3,1,11,looking_away,L,L,Match,SAD
Baloo2,3,1,12,absent,L,L,Match,SAD
Baloo2,3,1,13,present,L,L,Match,SAD
Baloo2,3,1,14,absent,L,L,Match,SAD
Baloo2,3,1,15,back_turned,L,L,Match,SAD
Baloo2,3,1,16,present,L,L,Match,SAD
Baloo2,3,1,17,present,R,R,Match,SAD
Baloo2,3,1,18,looking_away,L,L,Match,SAD
Baloo2,3,1,19,absent,L,L,Match,SAD
Baloo2,3,1,20,present,L,L,Match,SAD
Baloo2,3,1,21,back_turned,L,L,Match,SAD
Baloo2,3,1,22,absent,L,L,Match,SAD
Baloo2,3,1,23,back_turned,L,L,Match,SAD
Baloo2,3,1,24,looking_away,L,L,Match,SAD
Berry3,3,4,1,back_turned,R,R,Match,SAD
Berry3,3,4,2,back_turned,R,R,Match,SAD
Berry3,3,4,3,absent,R,R,Match,SAD
Berry3,3,4,4,absent,R,R,Match,SAD
Berry3,3,4,5,present,R,R,Match,SAD
Berry3,3,4,6,present,L,L,Match,SAD
Berry3,3,4,7,looking_away,R,R,Match,SAD
Berry3,3,4,8,back_turned,R,R,Match,SAD
Berry3,3,4,9,present,R,R,Match,SAD
Berry3,3,4,10,present,R,R,Match,SAD
Berry3,3,4,11,absent,R,R,Match,SAD
Berry3,3,4,12,looking_away,R,R,Match,SAD
Berry3,3,4,13,absent,R,R,Match,SAD
Berry3,3,4,14,present,L,L,Match,SAD
Berry3,3,4,15,looking_away,R,R,Match,SAD
Berry3,3,4,16,looking_away,R,R,Match,SAD
Berry3,3,4,17,absent,R,R,Match,SAD
Berry3,3,4,18,back_turned,R,R,Match,SAD
Berry3,3,4,19,absent,R,R,Match,SAD
Berry3,3,4,20,looking_away,R,R,Match,SAD
Berry3,3,4,21,looking_away,R,R,Match,SAD
Berry3,3,4,22,present,R,R,Match,SAD
Berry3,3,4,23,back_turned,R,R,Match,SAD
Berry3,3,4,24,back_turned,R,R,Match,SAD
Bonny6,3,8,1,present,L,L,Match,SAD
Bonny6,3,8,2,absent,R,R,Match,SAD
Bonny6,3,8,3,back_turned,R,R,Match,SAD
Bonny6,3,8,4,looking_away,R,R,Match,SAD
Bonny6,3,8,5,back_turned,R,R,Match,SAD
Bonny6,3,8,6,absent,R,R,Match,SAD
Bonny6,3,8,7,back_turned,R,R,Match,SAD
Bonny6,3,8,8,looking_away,R,R,Match,SAD
Bonny6,3,8,9,looking_away,R,R,Match,SAD
Bonny6,3,8,10,back_turned,L,L,Match,SAD
Bonny6,3,8,11,absent,L,L,Match,SAD
Bonny6,3,8,12,present,R,R,Match,SAD
Bonny6,3,8,13,looking_away,L,L,Match,SAD
Bonny6,3,8,14,back_turned,L,L,Match,SAD
Bonny6,3,8,15,looking_away,L,L,Match,SAD
Bonny6,3,8,16,absent,R,R,Match,SAD
Bonny6,3,8,17,present,L,L,Match,SAD
Bonny6,3,8,18,looking_away,R,R,Match,SAD
Bonny6,3,8,19,absent,R,R,Match,SAD
Bonny6,3,8,20,back_turned,L,L,Match,SAD
Bonny6,3,8,21,present,L,L,Match,SAD
Bonny6,3,8,22,present,R,R,Match,SAD
Bonny6,3,8,23,absent,R,R,Match,SAD
Bonny6,3,8,24,present,R,R,Match,SAD
Brexit,3,2,1,absent,L,L,Match,SAD
Brexit,3,2,2,present,L,L,Match,SAD
Brexit,3,2,3,looking_away,R,R,Match,SAD
Brexit,3,2,4,absent,L,L,Match,SAD
Brexit,3,2,5,looking_away,L,L,Match,SAD
Brexit,3,2,6,back_turned,L,L,Match,SAD
Brexit,3,2,7,absent,L,L,Match,SAD
Brexit,3,2,8,back_turned,L,L,Match,SAD
Brexit,3,2,9,looking_away,L,L,Match,SAD
Brexit,3,2,10,absent,L,L,Match,SAD
Brexit,3,2,11,back_turned,L,L,Match,SAD
Brexit,3,2,12,looking_away,L,L,Match,SAD
Brexit,3,2,13,back_turned,L,L,Match,SAD
Brexit,3,2,14,looking_away,R,R,Match,SAD
Brexit,3,2,15,looking_away,L,L,Match,SAD
Brexit,3,2,16,present,L,L,Match,SAD
Brexit,3,2,17,back_turned,L,L,Match,SAD
Brexit,3,2,18,present,R,R,Match,SAD
Brexit,3,2,19,present,L,L,Match,SAD
Brexit,3,2,20,absent,L,L,Match,SAD
Brexit,3,2,21,present,L,L,Match,SAD
Brexit,3,2,22,present,R,R,Match,SAD
Brexit,3,2,23,back_turned,L,L,Match,SAD
Brexit,3,2,24,absent,R,R,Match,SAD
Chilli6,3,17,1,back_turned,L,L,Match,SAD
Chilli6,3,17,2,absent,R,R,Match,SAD
Chilli6,3,17,3,present,R,R,Match,SAD
Chilli6,3,17,4,looking_away,R,R,Match,SAD
Chilli6,3,17,5,looking_away,L,L,Match,SAD
Chilli6,3,17,6,back_turned,R,R,Match,SAD
Chilli6,3,17,7,present,L,L,Match,SAD
Chilli6,3,17,8,back_turned,R,R,Match,SAD
Chilli6,3,17,9,looking_away,R,R,Match,SAD
Chilli6,3,17,10,back_turned,R,R,Match,SAD
Chilli6,3,17,11,back_turned,R,R,Match,SAD
Chilli6,3,17,12,looking_away,R,R,Match,SAD
Chilli6,3,17,13,looking_away,R,R,Match,SAD
Chilli6,3,17,14,absent,R,R,Match,SAD
Chilli6,3,17,15,present,L,L,Match,SAD
Chilli6,3,17,16,absent,R,R,Match,SAD
Chilli6,3,17,17,back_turned,R,R,Match,SAD
Chilli6,3,17,18,present,R,R,Match,SAD
Chilli6,3,17,19,present,R,R,Match,SAD
Chilli6,3,17,20,looking_away,R,R,Match,SAD
Chilli6,3,17,21,absent,L,L,Match,SAD
Chilli6,3,17,22,present,R,R,Match,SAD
Chilli6,3,17,23,absent,R,R,Match,SAD
Chilli6,3,17,24,absent,R,R,Match,SAD
Cora2,3,6,1,looking_away,L,L,Match,SAD
Cora2,3,6,2,back_turned,R,R,Match,SAD
Cora2,3,6,3,back_turned,R,R,Match,SAD
Cora2,3,6,4,looking_away,L,L,Match,SAD
Cora2,3,6,5,absent,L,L,Match,SAD
Cora2,3,6,6,absent,L,L,Match,SAD
Cora2,3,6,7,back_turned,L,L,Match,SAD
Cora2,3,6,8,absent,R,R,Match,SAD
Cora2,3,6,9,present,R,R,Match,SAD
Cora2,3,6,10,absent,R,R,Match,SAD
Cora2,3,6,11,back_turned,R,R,Match,SAD
Cora2,3,6,12,back_turned,L,L,Match,SAD
Cora2,3,6,13,absent,L,L,Match,SAD
Cora2,3,6,14,present,L,L,Match,SAD
Cora2,3,6,15,back_turned,L,L,Match,SAD
Cora2,3,6,16,looking_away,L,L,Match,SAD
Cora2,3,6,17,present,L,L,Match,SAD
Cora2,3,6,18,absent,R,R,Match,SAD
Cora2,3,6,19,present,L,L,Match,SAD
Cora2,3,6,20,looking_away,L,L,Match,SAD
Cora2,3,6,21,present,L,L,Match,SAD
Cora2,3,6,22,looking_away,L,L,Match,SAD
Cora2,3,6,23,present,L,L,Match,SAD
Cora2,3,6,24,looking_away,L,L,Match,SAD
Curly2,3,4,1,back_turned,L,L,Match,SAD
Curly2,3,4,2,back_turned,L,L,Match,SAD
Curly2,3,4,3,absent,L,L,Match,SAD
Curly2,3,4,4,absent,L,L,Match,SAD
Curly2,3,4,5,present,L,L,Match,SAD
Curly2,3,4,6,present,L,L,Match,SAD
Curly2,3,4,7,looking_away,L,L,Match,SAD
Curly2,3,4,8,back_turned,L,L,Match,SAD
Curly2,3,4,9,present,L,L,Match,SAD
Curly2,3,4,10,present,L,L,Match,SAD
Curly2,3,4,11,absent,L,L,Match,SAD
Curly2,3,4,12,looking_away,L,L,Match,SAD
Curly2,3,4,13,absent,R,R,Match,SAD
Curly2,3,4,14,present,L,L,Match,SAD
Curly2,3,4,15,looking_away,L,L,Match,SAD
Curly2,3,4,16,looking_away,L,L,Match,SAD
Curly2,3,4,17,absent,L,L,Match,SAD
Curly2,3,4,18,back_turned,L,L,Match,SAD
Curly2,3,4,19,absent,L,L,Match,SAD
Curly2,3,4,20,looking_away,L,L,Match,SAD
Curly2,3,4,21,looking_away,L,L,Match,SAD
Curly2,3,4,22,present,L,L,Match,SAD
Curly2,3,4,23,back_turned,L,L,Match,SAD
Curly2,3,4,24,back_turned,L,L,Match,SAD
Dottie2,3,15,1,present,L,L,Match,SAD
Dottie2,3,15,2,absent,R,R,Match,SAD
Dottie2,3,15,3,absent,L,L,Match,SAD
Dottie2,3,15,4,present,L,L,Match,SAD
Dottie2,3,15,5,looking_away,R,R,Match,SAD
Dottie2,3,15,6,looking_away,L,L,Match,SAD
Dottie2,3,15,7,back_turned,L,L,Match,SAD
Dottie2,3,15,8,present,L,L,Match,SAD
Dottie2,3,15,9,back_turned,L,L,Match,SAD
Dottie2,3,15,10,looking_away,L,L,Match,SAD
Dottie2,3,15,11,present,L,L,Match,SAD
Dottie2,3,15,12,back_turned,L,L,Match,SAD
Dottie2,3,15,13,present,L,L,Match,SAD
Dottie2,3,15,14,looking_away,L,L,Match,SAD
Dottie2,3,15,15,back_turned,L,L,Match,SAD
Dottie2,3,15,16,absent,L,L,Match,SAD
Dottie2,3,15,17,present,L,L,Match,SAD
Dottie2,3,15,18,absent,L,L,Match,SAD
Dottie2,3,15,19,looking_away,L,L,Match,SAD
Dottie2,3,15,20,absent,L,L,Match,SAD
Dottie2,3,15,21,looking_away,L,L,Match,SAD
Dottie2,3,15,22,back_turned,R,R,Match,SAD
Dottie2,3,15,23,absent,L,L,Match,SAD
Dottie2,3,15,24,back_turned,L,L,Match,SAD
Dunni,3,14,1,looking_away,L,L,Match,SAD
Dunni,3,14,2,absent,R,R,Match,SAD
Dunni,3,14,3,present,R,R,Match,SAD
Dunni,3,14,4,present,R,R,Match,SAD
Dunni,3,14,5,back_turned,R,R,Match,SAD
Dunni,3,14,6,back_turned,R,R,Match,SAD
Dunni,3,14,7,present,R,R,Match,SAD
Dunni,3,14,8,present,R,R,Match,SAD
Dunni,3,14,9,looking_away,R,R,Match,SAD
Dunni,3,14,10,looking_away,L,L,Match,SAD
Dunni,3,14,11,present,L,L,Match,SAD
Dunni,3,14,12,absent,L,L,Match,SAD
Dunni,3,14,13,looking_away,L,L,Match,SAD
Dunni,3,14,14,absent,R,R,Match,SAD
Dunni,3,14,15,present,L,L,Match,SAD
Dunni,3,14,16,back_turned,L,L,Match,SAD
Dunni,3,14,17,back_turned,L,L,Match,SAD
Dunni,3,14,18,looking_away,R,R,Match,SAD
Dunni,3,14,19,back_turned,L,L,Match,SAD
Dunni,3,14,20,absent,R,R,Match,SAD
Dunni,3,14,21,absent,R,R,Match,SAD
Dunni,3,14,22,back_turned,R,R,Match,SAD
Dunni,3,14,23,absent,R,R,Match,SAD
Dunni,3,14,24,looking_away,L,L,Match,SAD
Harvey,3,11,1,absent,R,R,Match,SAD
Harvey,3,11,2,back_turned,R,R,Match,SAD
Harvey,3,11,3,back_turned,R,R,Match,SAD
Harvey,3,11,4,looking_away,R,R,Match,SAD
Harvey,3,11,5,back_turned,R,R,Match,SAD
Harvey,3,11,6,present,R,R,Match,SAD
Harvey,3,11,7,absent,R,R,Match,SAD
Harvey,3,11,8,absent,R,R,Match,SAD
Harvey,3,11,9,present,R,R,Match,SAD
Harvey,3,11,10,back_turned,R,R,Match,SAD
Harvey,3,11,11,looking_away,R,R,Match,SAD
Harvey,3,11,12,present,R,R,Match,SAD
Harvey,3,11,13,looking_away,L,L,Match,SAD
Harvey,3,11,14,present,R,R,Match,SAD
Harvey,3,11,15,absent,R,R,Match,SAD
Harvey,3,11,16,back_turned,R,R,Match,SAD
Harvey,3,11,17,absent,L,L,Match,SAD
Harvey,3,11,18,present,R,R,Match,SAD
Harvey,3,11,19,looking_away,R,R,Match,SAD
Harvey,3,11,20,present,R,R,Match,SAD
Harvey,3,11,21,back_turned,R,R,Match,SAD
Harvey,3,11,22,looking_away,L,L,Match,SAD
Harvey,3,11,23,looking_away,R,R,Match,SAD
Harvey,3,11,24,absent,R,R,Match,SAD
Lilly13,3,9,1,present,R,R,Match,SAD
Lilly13,3,9,2,back_turned,L,L,Match,SAD
Lilly13,3,9,3,absent,R,R,Match,SAD
Lilly13,3,9,4,looking_away,R,R,Match,SAD
Lilly13,3,9,5,absent,R,R,Match,SAD
Lilly13,3,9,6,looking_away,R,R,Match,SAD
Lilly13,3,9,7,present,L,L,Match,SAD
Lilly13,3,9,8,present,R,R,Match,SAD
Lilly13,3,9,9,absent,R,R,Match,SAD
Lilly13,3,9,10,looking_away,L,L,Match,SAD
Lilly13,3,9,11,absent,L,L,Match,SAD
Lilly13,3,9,12,back_turned,R,R,Match,SAD
Lilly13,3,9,13,absent,R,R,Match,SAD
Lilly13,3,9,14,back_turned,L,L,Match,SAD
Lilly13,3,9,15,present,R,R,Match,SAD
Lilly13,3,9,16,back_turned,R,R,Match,SAD
Lilly13,3,9,17,looking_away,L,L,Match,SAD
Lilly13,3,9,18,absent,R,R,Match,SAD
Lilly13,3,9,19,looking_away,R,R,Match,SAD
Lilly13,3,9,20,present,R,R,Match,SAD
Lilly13,3,9,21,back_turned,L,L,Match,SAD
Lilly13,3,9,22,looking_away,L,L,Match,SAD
Lilly13,3,9,23,present,L,L,Match,SAD
Lilly13,3,9,24,back_turned,L,L,Match,SAD
Maggie5,3,7,1,absent,L,L,Match,SAD
Maggie5,3,7,2,looking_away,L,L,Match,SAD
Maggie5,3,7,3,looking_away,R,R,Match,SAD
Maggie5,3,7,4,back_turned,L,L,Match,SAD
Maggie5,3,7,5,absent,L,L,Match,SAD
Maggie5,3,7,6,present,L,L,Match,SAD
Maggie5,3,7,7,looking_away,L,L,Match,SAD
Maggie5,3,7,8,looking_away,L,L,Match,SAD
Maggie5,3,7,9,absent,R,R,Match,SAD
Maggie5,3,7,10,absent,L,L,Match,SAD
Maggie5,3,7,11,back_turned,L,L,Match,SAD
Maggie5,3,7,12,present,L,L,Match,SAD
Maggie5,3,7,13,looking_away,L,L,Match,SAD
Maggie5,3,7,14,absent,L,L,Match,SAD
Maggie5,3,7,15,present,L,L,Match,SAD
Maggie5,3,7,16,present,L,L,Match,SAD
Maggie5,3,7,17,back_turned,L,L,Match,SAD
Maggie5,3,7,18,back_turned,R,R,Match,SAD
Maggie5,3,7,19,present,L,L,Match,SAD
Maggie5,3,7,20,back_turned,R,R,Match,SAD
Maggie5,3,7,21,present,L,L,Match,SAD
Maggie5,3,7,22,absent,L,L,Match,SAD
Maggie5,3,7,23,looking_away,L,L,Match,SAD
Maggie5,3,7,24,back_turned,L,L,Match,SAD
Magic4,3,13,1,looking_away,L,L,Match,SAD
Magic4,3,13,2,present,L,L,Match,SAD
Magic4,3,13,3,back_turned,L,L,Match,SAD
Magic4,3,13,4,back_turned,L,L,Match,SAD
Magic4,3,13,5,present,L,L,Match,SAD
Magic4,3,13,6,looking_away,R,R,Match,SAD
Magic4,3,13,7,absent,L,L,Match,SAD
Magic4,3,13,8,looking_away,L,L,Match,SAD
Magic4,3,13,9,looking_away,L,L,Match,SAD
Magic4,3,13,10,present,L,L,Match,SAD
Magic4,3,13,11,present,L,L,Match,SAD
Magic4,3,13,12,absent,L,L,Match,SAD
Magic4,3,13,13,back_turned,L,L,Match,SAD
Magic4,3,13,14,looking_away,L,L,Match,SAD
Magic4,3,13,15,absent,L,L,Match,SAD
Magic4,3,13,16,back_turned,L,L,Match,SAD
Magic4,3,13,17,looking_away,L,L,Match,SAD
Magic4,3,13,18,present,L,L,Match,SAD
Magic4,3,13,19,back_turned,L,L,Match,SAD
Magic4,3,13,20,back_turned,L,L,Match,SAD
Magic4,3,13,21,absent,L,L,Match,SAD
Magic4,3,13,22,absent,R,R,Match,SAD
Magic4,3,13,23,present,R,R,Match,SAD
Magic4,3,13,24,absent,L,L,Match,SAD
Milo8,3,8,1,present,L,L,Match,SAD
Milo8,3,8,2,absent,R,R,Match,SAD
Milo8,3,8,3,back_turned,L,L,Match,SAD
Milo8,3,8,4,looking_away,L,L,Match,SAD
Milo8,3,8,5,back_turned,L,L,Match,SAD
Milo8,3,8,6,absent,L,L,Match,SAD
Milo8,3,8,7,back_turned,L,L,Match,SAD
Milo8,3,8,8,looking_away,R,R,Match,SAD
Milo8,3,8,9,looking_away,L,L,Match,SAD
Milo8,3,8,10,back_turned,L,L,Match,SAD
Milo8,3,8,11,absent,L,L,Match,SAD
Milo8,3,8,12,present,R,R,Match,SAD
Milo8,3,8,13,looking_away,L,L,Match,SAD
Milo8,3,8,14,back_turned,L,L,Match,SAD
Milo8,3,8,15,looking_away,R,R,Match,SAD
Milo8,3,8,16,absent,L,L,Match,SAD
Milo8,3,8,17,present,L,L,Match,SAD
Milo8,3,8,18,looking_away,R,R,Match,SAD
Milo8,3,8,19,absent,L,L,Match,SAD
Milo8,3,8,20,back_turned,L,L,Match,SAD
Milo8,3,8,21,present,L,L,Match,SAD
Milo8,3,8,22,present,L,L,Match,SAD
Milo8,3,8,23,absent,L,L,Match,SAD
Milo8,3,8,24,present,R,R,Match,SAD
Nero3,3,7,1,absent,L,L,Match,SAD
Nero3,3,7,2,looking_away,L,L,Match,SAD
Nero3,3,7,3,looking_away,L,L,Match,SAD
Nero3,3,7,4,back_turned,R,R,Match,SAD
Nero3,3,7,5,absent,L,L,Match,SAD
Nero3,3,7,6,present,L,L,Match,SAD
Nero3,3,7,7,looking_away,L,L,Match,SAD
Nero3,3,7,8,looking_away,L,L,Match,SAD
Nero3,3,7,9,absent,R,R,Match,SAD
Nero3,3,7,10,absent,R,R,Match,SAD
Nero3,3,7,11,back_turned,L,L,Match,SAD
Nero3,3,7,12,present,L,L,Match,SAD
Nero3,3,7,13,looking_away,L,L,Match,SAD
Nero3,3,7,14,absent,L,L,Match,SAD
Nero3,3,7,15,present,L,L,Match,SAD
Nero3,3,7,16,present,L,L,Match,SAD
Nero3,3,7,17,back_turned,L,L,Match,SAD
Nero3,3,7,18,back_turned,R,R,Match,SAD
Nero3,3,7,19,present,L,L,Match,SAD
Nero3,3,7,20,back_turned,L,L,Match,SAD
Nero3,3,7,21,present,L,L,Match,SAD
Nero3,3,7,22,absent,L,L,Match,SAD
Nero3,3,7,23,looking_away,L,L,Match,SAD
Nero3,3,7,24,back_turned,L,L,Match,SAD
Oskar5,3,10,1,present,L,L,Match,SAD
Oskar5,3,10,2,absent,L,L,Match,SAD
Oskar5,3,10,3,absent,L,L,Match,SAD
Oskar5,3,10,4,present,L,L,Match,SAD
Oskar5,3,10,5,back_turned,L,L,Match,SAD
Oskar5,3,10,6,looking_away,L,L,Match,SAD
Oskar5,3,10,7,present,R,R,Match,SAD
Oskar5,3,10,8,absent,R,R,Match,SAD
Oskar5,3,10,9,absent,L,L,Match,SAD
Oskar5,3,10,10,back_turned,R,R,Match,SAD
Oskar5,3,10,11,looking_away,L,L,Match,SAD
Oskar5,3,10,12,looking_away,L,L,Match,SAD
Oskar5,3,10,13,back_turned,R,R,Match,SAD
Oskar5,3,10,14,back_turned,R,R,Match,SAD
Oskar5,3,10,15,absent,L,L,Match,SAD
Oskar5,3,10,16,absent,L,L,Match,SAD
Oskar5,3,10,17,looking_away,L,L,Match,SAD
Oskar5,3,10,18,present,L,L,Match,SAD
Oskar5,3,10,19,back_turned,L,L,Match,SAD
Oskar5,3,10,20,looking_away,L,L,Match,SAD
Oskar5,3,10,21,back_turned,R,R,Match,SAD
Oskar5,3,10,22,present,L,L,Match,SAD
Oskar5,3,10,23,looking_away,L,L,Match,SAD
Oskar5,3,10,24,present,L,L,Match,SAD
Paddy,3,16,1,back_turned,R,R,Match,SAD
Paddy,3,16,2,present,L,L,Match,SAD
Paddy,3,16,3,present,R,R,Match,SAD
Paddy,3,16,4,absent,L,L,Match,SAD
Paddy,3,16,5,looking_away,L,L,Match,SAD
Paddy,3,16,6,absent,L,L,Match,SAD
Paddy,3,16,7,back_turned,L,L,Match,SAD
Paddy,3,16,8,present,L,L,Match,SAD
Paddy,3,16,9,back_turned,R,R,Match,SAD
Paddy,3,16,10,looking_away,L,L,Match,SAD
Paddy,3,16,11,present,L,L,Match,SAD
Paddy,3,16,12,absent,L,L,Match,SAD
Paddy,3,16,13,present,L,L,Match,SAD
Paddy,3,16,14,back_turned,R,R,Match,SAD
Paddy,3,16,15,back_turned,L,L,Match,SAD
Paddy,3,16,16,present,L,L,Match,SAD
Paddy,3,16,17,back_turned,L,L,Match,SAD
Paddy,3,16,18,looking_away,L,L,Match,SAD
Paddy,3,16,19,looking_away,L,L,Match,SAD
Paddy,3,16,20,absent,L,L,Match,SAD
Paddy,3,16,21,looking_away,L,L,Match,SAD
Paddy,3,16,22,absent,R,R,Match,SAD
Paddy,3,16,23,absent,L,L,Match,SAD
Paddy,3,16,24,looking_away,L,L,Match,SAD
Pauli7,3,14,1,looking_away,R,R,Match,SAD
Pauli7,3,14,2,absent,R,R,Match,SAD
Pauli7,3,14,3,present,R,R,Match,SAD
Pauli7,3,14,4,present,R,R,Match,SAD
Pauli7,3,14,5,back_turned,L,L,Match,SAD
Pauli7,3,14,6,back_turned,R,R,Match,SAD
Pauli7,3,14,7,present,R,R,Match,SAD
